imgnetid,wnid,word,gloss
133,n02011460,bittern,relatively small compact tawny-brown heron with nocturnal habits and a booming cry; found in marshes
134,n02012849,crane,large long-necked wading bird of marshes and plains in many parts of the world
135,n02013706,"limpkin, Aramus pictus","wading bird of Florida, Cuba and Jamaica having a drooping bill and a distinctive wailing call"
136,n02017213,"European gallinule, Porphyrio porphyrio",purple gallinule of southern Europe
137,n02018207,"American coot, marsh hen, mud hen, water hen, Fulica americana",a coot found in North America
138,n02018795,bustard,large heavy-bodied chiefly terrestrial game bird capable of powerful swift flight; classified with wading birds but frequents grassy steppes
139,n02025239,"ruddy turnstone, Arenaria interpres",common Arctic turnstone that winters in South America and Australia
140,n02027492,"red-backed sandpiper, dunlin, Erolia alpina",small common sandpiper that breeds in northern or Arctic regions and winters in southern United States or Mediterranean regions
141,n02028035,"redshank, Tringa totanus",a common Old World wading bird with long red legs
142,n02033041,dowitcher,shorebird of the sandpiper family that resembles a snipe
143,n02037110,"oystercatcher, oyster catcher",black-and-white shorebird with stout legs and bill; feed on oysters etc.
144,n02051845,pelican,large long-winged warm-water seabird having a large bill with a distensible pouch for fish
145,n02056570,"king penguin, Aptenodytes patagonica",large penguin on islands bordering the Antarctic Circle
146,n02058221,"albatross, mollymawk",large web-footed birds of the southern hemisphere having long narrow wings; noted for powerful gliding flight
147,n02066245,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",medium-sized greyish-black whale of the northern Pacific
148,n02071294,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",predatory black-and-white toothed whale with large dorsal fin; common in cold seas
149,n02074367,"dugong, Dugong dugon",sirenian tusked mammal found from eastern Africa to Australia; the flat tail is bilobate
150,n02077923,sea lion,any of several large eared seals of the northern Pacific related to fur seals but lacking their valuable coat
151,n02085620,Chihuahua,an old breed of tiny short-haired dog with protruding eyes from Mexico held to antedate Aztec civilization
152,n02085782,Japanese spaniel,breed of toy dogs originating in Japan having a silky black-and-white or red-and-white coat
153,n02085936,"Maltese dog, Maltese terrier, Maltese",breed of toy dogs having a long straight silky white coat
154,n02086079,"Pekinese, Pekingese, Peke",a Chinese breed of small short-legged dogs with a long silky coat and broad flat muzzle
155,n02086240,Shih-Tzu,a Chinese breed of small dog similar to a Pekingese
156,n02086646,Blenheim spaniel,red-and-white variety of English toy spaniel
157,n02086910,papillon,small slender toy spaniel with erect ears and a black-spotted brown to white coat
158,n02087046,toy terrier,a small active dog
159,n02087394,Rhodesian ridgeback,a powerful short-haired African hunting dog having a crest of reversed hair along the spine
160,n02088094,"Afghan hound, Afghan",tall graceful breed of hound with a long silky coat; native to the Near East
161,n02088238,"basset, basset hound",smooth-haired breed of hound with short legs and long ears
162,n02088364,beagle,a small short-legged smooth-coated breed of hound
163,n02088466,"bloodhound, sleuthhound",a breed of large powerful hound of European origin having very acute smell and used in tracking
164,n02088632,bluetick,a very fast American hound; white mottled with bluish grey
165,n02089078,black-and-tan coonhound,American breed of large powerful hound dogs used for hunting raccoons and other game
166,n02089867,"Walker hound, Walker foxhound",an American breed of foxhound
167,n02089973,English foxhound,an English breed slightly larger than the American foxhounds originally used to hunt in packs
168,n02090379,redbone,a speedy red or red-and-tan American hound
169,n02090622,"borzoi, Russian wolfhound",tall fast-moving dog breed
170,n02090721,Irish wolfhound,large breed of hound with a rough thick coat
171,n02091032,Italian greyhound,a toy dog developed from the greyhound
172,n02091134,whippet,small slender dog of greyhound type developed in England
173,n02091244,"Ibizan hound, Ibizan Podenco",breed of slender agile medium-sized hound found chiefly in the Balearic Islands; said to have been bred originally by the Pharaohs of ancient Egypt
174,n02091467,"Norwegian elkhound, elkhound",breed of compact medium-sized dog with a heavy grey coat developed in Norway for hunting elk
175,n02091635,"otterhound, otter hound",hardy British hound having long pendulous ears and a thick coarse shaggy coat with an oily undercoat; bred for hunting otters
176,n02091831,"Saluki, gazelle hound",old breed of tall swift keen-eyed hunting dogs resembling greyhounds; from Egypt and southwestern Asia
177,n02092002,"Scottish deerhound, deerhound",very large and tall rough-coated dog bred for hunting deer; known as the royal dog of Scotland
178,n02092339,Weimaraner,large breed of hound having a smooth greyish coat; originated in Germany
179,n02093256,"Staffordshire bullterrier, Staffordshire bull terrier",English breed of strong stocky dog having a broad skull and smooth coat
180,n02093428,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",American breed of muscular terriers with a short close-lying stiff coat
181,n02093647,Bedlington terrier,a light terrier groomed to resemble a lamb
182,n02093754,Border terrier,small rough-coated terrier of British origin
183,n02093859,Kerry blue terrier,an Irish breed of medium-sized terriers with a silky blue-grey coat
184,n02093991,Irish terrier,medium-sized breed with a wiry brown coat; developed in Ireland
185,n02094114,Norfolk terrier,English breed of small terrier with a straight wiry grizzled coat and dropped ears
186,n02094258,Norwich terrier,English breed of small short-legged terrier with a straight wiry red or grey or black-and-tan coat and erect ears
187,n02094433,Yorkshire terrier,very small breed having a long glossy coat of bluish-grey and tan
188,n02095314,wire-haired fox terrier,a fox terrier with wiry hair
189,n02095570,Lakeland terrier,breed of wire-haired terrier originally from the Lake District of England and used for hunting
190,n02095889,"Sealyham terrier, Sealyham",a wire-haired terrier with short legs that was first bred in Sealyham
191,n02096051,"Airedale, Airedale terrier",breed of large wiry-coated terrier bred in Yorkshire
192,n02096177,"cairn, cairn terrier",small rough-haired breed of terrier from Scotland
193,n02096294,Australian terrier,small greyish wire-haired breed of terrier from Australia similar to the cairn
194,n02096437,"Dandie Dinmont, Dandie Dinmont terrier",a breed of small terrier with long wiry coat and drooping ears
195,n02096585,"Boston bull, Boston terrier",small pug-faced American terrier breed having a smooth brindle or black coat with white markings
196,n02097047,miniature schnauzer,a small schnauzer
197,n02097130,giant schnauzer,a large schnauzer
198,n02097209,standard schnauzer,a medium-sized schnauzer
199,n02097298,"Scotch terrier, Scottish terrier, Scottie",old Scottish breed of small long-haired usually black terrier with erect tail and ears
200,n02097474,"Tibetan terrier, chrysanthemum dog",breed of medium-sized terriers bred in Tibet resembling Old English sheepdogs with fluffy curled tails
201,n02097658,"silky terrier, Sydney silky",Australian breed of toy dogs having a silky blue coat
202,n02098105,soft-coated wheaten terrier,Irish breed of medium-sized terrier with an abundant coat any shade of wheat and very hairy head and muzzle
203,n02098286,West Highland white terrier,small white long-coated terrier developed in Scotland
204,n02098413,"Lhasa, Lhasa apso",a breed of terrier having a long heavy coat raised in Tibet as watchdogs
205,n02099267,flat-coated retriever,an English breed having a shiny black or liver-colored coat; retrieves game from land or water
206,n02099429,curly-coated retriever,an English breed having a tightly curled black or liver-colored coat; retrieves game from land or water
207,n02099601,golden retriever,an English breed having a long silky golden coat
208,n02099712,Labrador retriever,breed originally from Labrador having a short black or golden-brown coat
209,n02099849,Chesapeake Bay retriever,American breed having a short thick oily coat ranging from brown to light tan
210,n02100236,German short-haired pointer,liver or liver-and-white hunting dog developed in Germany; 3/4 pointer and 1/4 bloodhound
211,n02100583,"vizsla, Hungarian pointer",Hungarian hunting dog resembling the Weimaraner but having a rich deep red coat
212,n02100735,English setter,an English breed having a plumed tail and a soft silky coat that is chiefly white
213,n02100877,"Irish setter, red setter",an Irish breed with a chestnut-brown or mahogany-red coat
214,n02101006,Gordon setter,a Scottish breed with a black-and-tan coat
215,n02101388,Brittany spaniel,tall active short-tailed French breed of bird dog having a usually smooth orange- or liver-and-white coat
216,n02101556,"clumber, clumber spaniel",a thickset spaniel with longish silky hair
217,n02102040,"English springer, English springer spaniel",a breed having typically a black-and-white coat
218,n02102177,Welsh springer spaniel,a red-and-white breed slightly smaller than the English springer spaniel
219,n02102318,"cocker spaniel, English cocker spaniel, cocker",a small breed with wavy silky hair; originally developed in England
220,n02102480,Sussex spaniel,an English breed with short legs and a golden liver-colored coat
221,n02102973,Irish water spaniel,breed of large spaniels developed in Ireland having a heavy coat of liver-colored curls and a topknot of long curls and a nearly hairless tail
222,n02104029,kuvasz,long-established Hungarian breed of tall light-footed but sturdy white dog; used also as a hunting dog
223,n02104365,schipperke,breed of small stocky black dogs originally used as watchdogs on boats in the Netherlands and Belgium
224,n02105056,groenendael,black-coated sheepdog with a heavily plumed tail
225,n02105162,malinois,fawn-colored short-haired sheepdog
226,n02105251,briard,old French breed of large strong usually black dogs having a long tail and long wavy and slightly stiff coat
227,n02105412,kelpie,an Australian sheepdog with pointed ears
228,n02105505,komondor,Hungarian breed of large powerful shaggy-coated white dog; used also as guard dog
229,n02105641,"Old English sheepdog, bobtail",large sheepdog with a profuse shaggy bluish-grey-and-white coat and short tail; believed to trace back to the Roman occupation of Britain
230,n02105855,"Shetland sheepdog, Shetland sheep dog, Shetland",a small sheepdog resembling a collie that was developed in the Shetland Islands
231,n02106030,collie,a silky-coated sheepdog with a long ruff and long narrow head developed in Scotland
232,n02106166,Border collie,developed in the area between Scotland and England usually having a black coat with white on the head and tip of tail used for herding both sheep and cattle
233,n02106382,"Bouvier des Flandres, Bouviers des Flandres",rough-coated breed used originally in Belgium for herding and guarding cattle
234,n02106550,Rottweiler,German breed of large vigorous short-haired cattle dogs
235,n02106662,"German shepherd, German shepherd dog, German police dog, alsatian",breed of large shepherd dogs used in police work and as a guide for the blind
236,n02107142,"Doberman, Doberman pinscher",medium large breed of dog of German origin with a glossy black and tan coat; used as a watchdog
237,n02107312,miniature pinscher,small German version of a Doberman pinscher
238,n02107574,Greater Swiss Mountain dog,the largest of the four Swiss breeds
239,n02107683,Bernese mountain dog,large powerful long-haired black-coated Swiss dog with deep tan or russet markings on legs and white blaze and feet and chest marking; formerly used for draft
240,n02107908,Appenzeller,a smaller of the four Swiss breeds
241,n02108000,EntleBucher,the smallest of the Sennenhunde
242,n02108089,boxer,a breed of stocky medium-sized short-haired dog with a brindled coat and square-jawed muzzle developed in Germany
243,n02108422,bull mastiff,large powerful breed developed by crossing the bulldog and the mastiff
244,n02108551,Tibetan mastiff,very large powerful rough-coated dog native to central Asia
245,n02108915,French bulldog,small stocky version of the bulldog having a sleek coat and square head
246,n02109047,Great Dane,very large powerful smooth-coated breed of dog
247,n02109525,"Saint Bernard, St Bernard",a Swiss alpine breed of large powerful dog with a thick coat of hair used as a rescue dog
248,n02109961,"Eskimo dog, husky",breed of heavy-coated Arctic sled dog
249,n02110063,"malamute, malemute, Alaskan malamute",breed of sled dog developed in Alaska
250,n02110185,Siberian husky,breed of sled dog developed in northeastern Siberia; they resemble the larger Alaskan malamutes
251,n02110341,"dalmatian, coach dog, carriage dog",a large breed having a smooth white coat with black or brown spots; originated in Dalmatia
252,n02110627,"affenpinscher, monkey pinscher, monkey dog",European breed of small dog resembling a terrier with dark wiry hair and a tufted muzzle
253,n02110806,basenji,small smooth-haired breed of African origin having a tightly curled tail and the inability to bark
254,n02110958,"pug, pug-dog",small compact smooth-coated breed of Asiatic origin having a tightly curled tail and broad flat wrinkled muzzle
255,n02111129,Leonberg,a large dog (usually with a golden coat) produced by crossing a St Bernard and a Newfoundland
256,n02111277,"Newfoundland, Newfoundland dog",a breed of very large heavy dogs with a thick coarse usually black coat; highly intelligent dogs and vigorous swimmers; developed in Newfoundland
257,n02111500,Great Pyrenees,bred of large heavy-coated white dogs resembling the Newfoundland
258,n02111889,"Samoyed, Samoyede",Siberian breed of white or cream-colored dog of the spitz family
259,n02112018,Pomeranian,breed of very small compact long-haired dogs of the spitz type
260,n02112137,"chow, chow chow",breed of medium-sized dogs with a thick coat and fluffy curled tails and distinctive blue-black tongues; believed to have originated in northern China
261,n02112350,keeshond,a spitz-like dog having a shaggy greyish coat and tightly curled tail originating in Holland
262,n02112706,Brabancon griffon,a variety of Brussels griffon having a short smooth coat
263,n02113023,"Pembroke, Pembroke Welsh corgi",the smaller and straight-legged variety of corgi having pointed ears and a short tail
264,n02113186,"Cardigan, Cardigan Welsh corgi",slightly bowlegged variety of corgi having rounded ears and a long tail
265,n02113624,toy poodle,the breed of very small poodles
266,n02113712,miniature poodle,a breed of small poodles
267,n02113799,standard poodle,a breed or medium-sized poodles
268,n02113978,Mexican hairless,any of an old breed of small nearly hairless dogs of Mexico
269,n02114367,"timber wolf, grey wolf, gray wolf, Canis lupus",a wolf with a brindled grey coat living in forested northern regions of North America
270,n02114548,"white wolf, Arctic wolf, Canis lupus tundrarum",wolf of Arctic North America having white fur and a black-tipped tail
271,n02114712,"red wolf, maned wolf, Canis rufus, Canis niger",reddish-grey wolf of southwestern North America
272,n02114855,"coyote, prairie wolf, brush wolf, Canis latrans",small wolf native to western North America
273,n02115641,"dingo, warrigal, warragal, Canis dingo",wolflike yellowish-brown wild dog of Australia
274,n02115913,"dhole, Cuon alpinus",fierce wild dog of the forests of central and southeast Asia that hunts in packs
275,n02116738,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",a powerful doglike mammal of southern and eastern Africa that hunts in large packs; now rare in settled area
276,n02117135,"hyena, hyaena",doglike nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion
277,n02119022,"red fox, Vulpes vulpes",the common Old World fox; having reddish-brown fur; commonly considered a single circumpolar species
278,n02119789,"kit fox, Vulpes macrotis",small grey fox of southwestern United States; may be a subspecies of Vulpes velox
279,n02120079,"Arctic fox, white fox, Alopex lagopus",thickly-furred fox of Arctic regions; brownish in summer and white in winter
280,n02120505,"grey fox, gray fox, Urocyon cinereoargenteus",dark grey American fox; from Central America through southern United States
281,n02123045,"tabby, tabby cat",a cat with a grey or tawny coat mottled with black
282,n02123159,tiger cat,a cat having a striped coat
283,n02123394,Persian cat,a long-haired breed of cat
284,n02123597,"Siamese cat, Siamese",a slender short-haired blue-eyed breed of cat having a pale coat with dark ears paws face and tail tip
285,n02124075,Egyptian cat,a domestic cat of Egypt
286,n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",large American feline resembling a lion
287,n02127052,"lynx, catamount",short-tailed wildcats with usually tufted ears; valued for their fur
288,n02128385,"leopard, Panthera pardus",large feline of African and Asian forests usually having a tawny coat with black spots
289,n02128757,"snow leopard, ounce, Panthera uncia",large feline of upland central Asia having long thick whitish fur
290,n02128925,"jaguar, panther, Panthera onca, Felis onca",a large spotted feline of tropical America similar to the leopard; in some classifications considered a member of the genus Felis
291,n02129165,"lion, king of beasts, Panthera leo",large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
292,n02129604,"tiger, Panthera tigris",large feline of forests in most of Asia having a tawny coat with black stripes; endangered
293,n02130308,"cheetah, chetah, Acinonyx jubatus",long-legged spotted cat of Africa and southwestern Asia having nonretractile claws; the swiftest mammal; can be trained to run down game
294,n02132136,"brown bear, bruin, Ursus arctos",large ferocious bear of Eurasia
295,n02133161,"American black bear, black bear, Ursus americanus, Euarctos americanus",brown to black North American bear; smaller and less ferocious than the brown bear
296,n02134084,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",white bear of Arctic regions
297,n02134418,"sloth bear, Melursus ursinus, Ursus ursinus",common coarse-haired long-snouted bear of south-central Asia
298,n02137549,mongoose,agile grizzled Old World viverrine; preys on snakes and rodents
299,n02138441,"meerkat, mierkat",a mongoose-like viverrine of South Africa having a face like a lemur and only four toes
300,n02165105,tiger beetle,active usually bright-colored beetle that preys on other insects
